Step,Position X,Position Y,Position Z,Orientation Roll,Orientation Pitch,Orientation Yaw,Initial Z,Final Z,Delta Z,Success
1,0.3,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.525409411741017,0.12540941174101694,True
2,0.285316954888546,0.09270509831248422,0.4,0.0,-0.0,-2.827433388230814,0.4,0.5277390750980796,0.12773907509807958,True
1,0.3,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.525409411741017,0.12540941174101694,True
1,0.3,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.525409411741017,0.12540941174101694,True
2,0.285316954888546,0.09270509831248422,0.4,0.0,-0.0,-2.827433388230814,0.4,0.5277390750980796,0.12773907509807958,True
3,0.2427050983124842,0.17633557568774194,0.4,0.0,-0.0,-2.5132741228718345,0.4,0.024988047913019763,-0.37501195208698024,False
4,0.17633557568774194,0.2427050983124842,0.4,0.0,-0.0,-2.199114857512855,0.4,0.024988775412964976,-0.37501122458703506,False
5,0.09270509831248423,0.285316954888546,0.4,0.0,-0.0,-1.884955592153876,0.4,0.024987521875098586,-0.37501247812490146,False
1,0.25,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.5209829444677765,0.12098294446777647,True
2,0.23776412907378838,0.07725424859373685,0.4,0.0,-0.0,-2.827433388230814,0.4,0.5252746604639803,0.12527466046398028,True
3,0.20225424859373686,0.14694631307311828,0.4,0.0,-0.0,-2.5132741228718345,0.4,0.5240904908469582,0.12409049084695822,True
4,0.14694631307311828,0.20225424859373686,0.4,0.0,-0.0,-2.199114857512855,0.4,0.5248915839322917,0.12489158393229172,True
5,0.07725424859373686,0.23776412907378838,0.4,0.0,-0.0,-1.884955592153876,0.4,0.522788449866035,0.12278844986603499,True
6,1.5308084989341915e-17,0.25,0.4,0.0,-0.0,-1.5707963267948968,0.4,0.5268110693913194,0.12681106939131936,True
7,-0.07725424859373684,0.2377641290737884,0.4,0.0,-0.0,-1.2566370614359175,0.4,0.5260173313134487,0.12601733131344872,True
8,-0.14694631307311826,0.20225424859373686,0.4,0.0,-0.0,-0.9424777960769379,0.4,0.5241972870207608,0.12419728702076083,True
9,-0.20225424859373684,0.1469463130731183,0.4,0.0,-0.0,-0.6283185307179588,0.4,0.5250786137042533,0.12507861370425333,True
10,-0.23776412907378838,0.07725424859373688,0.4,0.0,-0.0,-0.3141592653589794,0.4,0.5244533521116493,0.12445335211164932,True
11,-0.25,3.061616997868383e-17,0.4,0.0,-0.0,-1.2246467991473532e-16,0.4,0.523791799040587,0.12379179904058701,True
12,-0.23776412907378838,-0.07725424859373693,0.4,0.0,-0.0,0.31415926535897976,0.4,0.5260351618117503,0.12603516181175023,True
13,-0.20225424859373686,-0.14694631307311826,0.4,0.0,-0.0,0.6283185307179586,0.4,0.5240154749214715,0.12401547492147147,True
14,-0.1469463130731183,-0.20225424859373684,0.4,0.0,-0.0,0.9424777960769378,0.4,0.5237335119107118,0.1237335119107118,True
15,-0.07725424859373689,-0.23776412907378838,0.4,0.0,-0.0,1.2566370614359172,0.4,0.5244331342798872,0.12443313427988723,True
16,-4.592425496802574e-17,-0.25,0.4,0.0,-0.0,1.5707963267948963,0.4,0.52815474692956,0.12815474692955997,True
17,0.07725424859373681,-0.2377641290737884,0.4,0.0,-0.0,1.8849555921538756,0.4,0.5260249697239219,0.12602496972392185,True
18,0.14694631307311823,-0.2022542485937369,0.4,0.0,-0.0,2.199114857512855,0.4,0.523904915913023,0.123904915913023,True
19,0.20225424859373684,-0.14694631307311834,0.4,0.0,-0.0,2.5132741228718345,0.4,0.5248559893510615,0.12485598935106146,True
20,0.23776412907378838,-0.07725424859373692,0.4,0.0,-0.0,2.827433388230814,0.4,0.523333812733846,0.12333381273384603,True
1,0.2,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.024988117531267184,-0.37501188246873285,False
2,0.1902113032590307,0.06180339887498948,0.4,0.0,-0.0,-2.827433388230814,0.4,0.02498822859650906,-0.37501177140349096,False
3,0.1618033988749895,0.11755705045849463,0.4,0.0,-0.0,-2.5132741228718345,0.4,0.02498944655766074,-0.3750105534423393,False
